,t##Other##,B##length##inches,D##length##inches,d##length##inches
800S137-33,33,8,1.37,0.375
800S137-43,43,8,1.37,0.375
800S137-54,54,8,1.37,0.375
800S137-68,68,8,1.37,0.375
800S137-97,97,8,1.37,0.375
800S162-33,33,8,1.62,0.5
800S162-43,43,8,1.62,0.5
800S162-54,54,8,1.62,0.5
800S162-68,68,8,1.62,0.5
800S162-97,97,8,1.62,0.5
800S200-33,33,8,2,0.625
800S200-43,43,8,2,0.625
800S200-54,54,8,2,0.625
800S200-68,68,8,2,0.625
800S200-97,97,8,2,0.625
800S250-43,43,8,2.5,0.625
800S250-54,54,8,2.5,0.625
800S250-68,68,8,2.5,0.625
800S250-97,97,8,2.5,0.625
1000S162-43,43,10,1.62,0.5
1000S162-54,54,10,1.62,0.5
1000S162-68,68,10,1.62,0.5
1000S162-97,97,10,1.62,0.5
1000S200-43,43,10,2,0.625
1000S200-54,54,10,2,0.625
1000S200-68,68,10,2,0.625
1000S200-97,97,10,2,0.625
1000S250-43,43,10,2.5,0.625
1000S250-54,54,10,2.5,0.625
1000S250-68,68,10,2.5,0.625
1000S250-97,97,10,2.5,0.625
1200S162-54,54,12,1.62,0.5
1200S162-68,68,12,1.62,0.5
1200S162-97,97,12,1.62,0.5
1200S200-54,54,12,2,0.625
1200S200-68,68,12,2,0.625
1200S200-97,97,12,2,0.625
1200S250-54,54,12,2.5,0.625
1200S250-68,68,12,2.5,0.625
1200S250-97,97,12,2.5,0.625
