,Legs##other##,Space##length##inches,W##other##,A##area##inches,d##length##inches,b##length##inches,t##length##inches,y##length##inches
2L7X4X3/8LLBB,LLBB,0,27.2,8.00,7.00,4,0.375,2.35
2L7X4X3/8X3/8LLBB,LLBB,0.375,27.2,8.00,7.00,4,0.375,2.35
2L7X4X3/8X3/4LLBB,LLBB,0.75,27.2,8.00,7.00,4,0.375,2.35
2L6X4X7/8LLBB,LLBB,0,54.3,16.0,6.00,4,0.875,2.12
2L6X4X7/8X3/8LLBB,LLBB,0.375,54.3,16.0,6.00,4,0.875,2.12
2L6X4X7/8X3/4LLBB,LLBB,0.75,54.3,16.0,6.00,4,0.875,2.12
2L6X4X3/4LLBB,LLBB,0,47.2,13.9,6.00,4,0.75,2.07
2L6X4X3/4X3/8LLBB,LLBB,0.375,47.2,13.9,6.00,4,0.75,2.07
2L6X4X3/4X3/4LLBB,LLBB,0.75,47.2,13.9,6.00,4,0.75,2.07
2L6X4X5/8LLBB,LLBB,0,39.9,11.7,6.00,4,0.625,2.03
2L6X4X5/8X3/8LLBB,LLBB,0.375,39.9,11.7,6.00,4,0.625,2.03
2L6X4X5/8X3/4LLBB,LLBB,0.75,39.9,11.7,6.00,4,0.625,2.03
2L6X4X9/16LLBB,LLBB,0,36.1,10.6,6.00,4,0.5625,2.00
2L6X4X9/16X3/8LLBB,LLBB,0.375,36.1,10.6,6.00,4,0.5625,2.00
2L6X4X9/16X3/4LLBB,LLBB,0.75,36.1,10.6,6.00,4,0.5625,2.00
2L6X4X1/2LLBB,LLBB,0,32.3,9.50,6.00,4,0.5,1.98
2L6X4X1/2X3/8LLBB,LLBB,0.375,32.3,9.50,6.00,4,0.5,1.98
2L6X4X1/2X3/4LLBB,LLBB,0.75,32.3,9.50,6.00,4,0.5,1.98
2L6X4X7/16LLBB,LLBB,0,28.5,8.36,6.00,4,0.4375,1.95
2L6X4X7/16X3/8LLBB,LLBB,0.375,28.5,8.36,6.00,4,0.4375,1.95
2L6X4X7/16X3/4LLBB,LLBB,0.75,28.5,8.36,6.00,4,0.4375,1.95
2L6X4X3/8LLBB,LLBB,0,24.6,7.22,6.00,4,0.375,1.93
2L6X4X3/8X3/8LLBB,LLBB,0.375,24.6,7.22,6.00,4,0.375,1.93
2L6X4X3/8X3/4LLBB,LLBB,0.75,24.6,7.22,6.00,4,0.375,1.93
2L6X4X5/16LLBB,LLBB,0,20.6,6.05,6.00,4,0.3125,1.90
2L6X4X5/16X3/8LLBB,LLBB,0.375,20.6,6.05,6.00,4,0.3125,1.90
2L6X4X5/16X3/4LLBB,LLBB,0.75,20.6,6.05,6.00,4,0.3125,1.90
2L6X3-1/2X1/2LLBB,LLBB,0,30.7,9.04,6.00,3.5,0.5,2.07
2L6X3-1/2X1/2X3/8LLBB,LLBB,0.375,30.7,9.04,6.00,3.5,0.5,2.07
2L6X3-1/2X1/2X3/4LLBB,LLBB,0.75,30.7,9.04,6.00,3.5,0.5,2.07
2L6X3-1/2X3/8LLBB,LLBB,0,23.4,6.88,6.00,3.5,0.375,2.02
2L6X3-1/2X3/8X3/8LLBB,LLBB,0.375,23.4,6.88,6.00,3.5,0.375,2.02
2L6X3-1/2X3/8X3/4LLBB,LLBB,0.75,23.4,6.88,6.00,3.5,0.375,2.02
2L6X3-1/2X5/16LLBB,LLBB,0,19.7,5.78,6.00,3.5,0.3125,2.00
2L6X3-1/2X5/16X3/8LLBB,LLBB,0.375,19.7,5.78,6.00,3.5,0.3125,2.00
2L6X3-1/2X5/16X3/4LLBB,LLBB,0.75,19.7,5.78,6.00,3.5,0.3125,2.00
2L5X3-1/2X3/4LLBB,LLBB,0,39.6,11.6,5.00,3.5,0.75,1.74
2L5X3-1/2X3/4X3/8LLBB,LLBB,0.375,39.6,11.6,5.00,3.5,0.75,1.74
2L5X3-1/2X3/4X3/4LLBB,LLBB,0.75,39.6,11.6,5.00,3.5,0.75,1.74
2L5X3-1/2X5/8LLBB,LLBB,0,33.5,9.85,5.00,3.5,0.625,1.69
2L5X3-1/2X5/8X3/8LLBB,LLBB,0.375,33.5,9.85,5.00,3.5,0.625,1.69
2L5X3-1/2X5/8X3/4LLBB,LLBB,0.75,33.5,9.85,5.00,3.5,0.625,1.69
2L5X3-1/2X1/2LLBB,LLBB,0,27.2,8.01,5.00,3.5,0.5,1.65
2L5X3-1/2X1/2X3/8LLBB,LLBB,0.375,27.2,8.01,5.00,3.5,0.5,1.65
2L5X3-1/2X1/2X3/4LLBB,LLBB,0.75,27.2,8.01,5.00,3.5,0.5,1.65
2L5X3-1/2X3/8LLBB,LLBB,0,20.8,6.10,5.00,3.5,0.375,1.60
2L5X3-1/2X3/8X3/8LLBB,LLBB,0.375,20.8,6.10,5.00,3.5,0.375,1.60
2L5X3-1/2X3/8X3/4LLBB,LLBB,0.75,20.8,6.10,5.00,3.5,0.375,1.60
2L5X3-1/2X5/16LLBB,LLBB,0,17.4,5.12,5.00,3.5,0.3125,1.57
2L5X3-1/2X5/16X3/8LLBB,LLBB,0.375,17.4,5.12,5.00,3.5,0.3125,1.57
2L5X3-1/2X5/16X3/4LLBB,LLBB,0.75,17.4,5.12,5.00,3.5,0.3125,1.57
2L5X3-1/2X1/4LLBB,LLBB,0,14.1,4.13,5.00,3.5,0.25,1.55
2L5X3-1/2X1/4X3/8LLBB,LLBB,0.375,14.1,4.13,5.00,3.5,0.25,1.55
2L5X3-1/2X1/4X3/4LLBB,LLBB,0.75,14.1,4.13,5.00,3.5,0.25,1.55
2L5X3X1/2LLBB,LLBB,0,25.5,7.51,5.00,3,0.5,1.74
2L5X3X1/2X3/8LLBB,LLBB,0.375,25.5,7.51,5.00,3,0.5,1.74
2L5X3X1/2X3/4LLBB,LLBB,0.75,25.5,7.51,5.00,3,0.5,1.74
2L5X3X7/16LLBB,LLBB,0,22.5,6.62,5.00,3,0.4375,1.72
2L5X3X7/16X3/8LLBB,LLBB,0.375,22.5,6.62,5.00,3,0.4375,1.72
2L5X3X7/16X3/4LLBB,LLBB,0.75,22.5,6.62,5.00,3,0.4375,1.72
2L5X3X3/8LLBB,LLBB,0,19.5,5.73,5.00,3,0.375,1.69
2L5X3X3/8X3/8LLBB,LLBB,0.375,19.5,5.73,5.00,3,0.375,1.69
2L5X3X3/8X3/4LLBB,LLBB,0.75,19.5,5.73,5.00,3,0.375,1.69
2L5X3X5/16LLBB,LLBB,0,16.4,4.81,5.00,3,0.3125,1.67
2L5X3X5/16X3/8LLBB,LLBB,0.375,16.4,4.81,5.00,3,0.3125,1.67
2L5X3X5/16X3/4LLBB,LLBB,0.75,16.4,4.81,5.00,3,0.3125,1.67
2L5X3X1/4LLBB,LLBB,0,13.2,3.88,5.00,3,0.25,1.64
2L5X3X1/4X3/8LLBB,LLBB,0.375,13.2,3.88,5.00,3,0.25,1.64
2L5X3X1/4X3/4LLBB,LLBB,0.75,13.2,3.88,5.00,3,0.25,1.64
2L4X3-1/2X1/2LLBB,LLBB,0,23.8,7.01,4.00,3.5,0.5,1.24
2L4X3-1/2X1/2X3/8LLBB,LLBB,0.375,23.8,7.01,4.00,3.5,0.5,1.24
2L4X3-1/2X1/2X3/4LLBB,LLBB,0.75,23.8,7.01,4.00,3.5,0.5,1.24
2L4X3-1/2X3/8LLBB,LLBB,0,18.2,5.35,4.00,3.5,0.375,1.20
2L4X3-1/2X3/8X3/8LLBB,LLBB,0.375,18.2,5.35,4.00,3.5,0.375,1.20
2L4X3-1/2X3/8X3/4LLBB,LLBB,0.75,18.2,5.35,4.00,3.5,0.375,1.20
2L4X3-1/2X5/16LLBB,LLBB,0,15.3,4.50,4.00,3.5,0.3125,1.17
2L4X3-1/2X5/16X3/8LLBB,LLBB,0.375,15.3,4.50,4.00,3.5,0.3125,1.17
2L4X3-1/2X5/16X3/4LLBB,LLBB,0.75,15.3,4.50,4.00,3.5,0.3125,1.17
2L4X3-1/2X1/4LLBB,LLBB,0,12.4,3.63,4.00,3.5,0.25,1.14
2L4X3-1/2X1/4X3/8LLBB,LLBB,0.375,12.4,3.63,4.00,3.5,0.25,1.14
2L4X3-1/2X1/4X3/4LLBB,LLBB,0.75,12.4,3.63,4.00,3.5,0.25,1.14
2L4X3X5/8LLBB,LLBB,0,27.1,7.98,4.00,3,0.625,1.37
2L4X3X5/8X3/8LLBB,LLBB,0.375,27.1,7.98,4.00,3,0.625,1.37
2L4X3X5/8X3/4LLBB,LLBB,0.75,27.1,7.98,4.00,3,0.625,1.37
2L4X3X1/2LLBB,LLBB,0,22.1,6.51,4.00,3,0.5,1.32
