,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,k##length##inches
WT6X13,13.0,3.82,6.11,6.49,0.230,0.380,1.0625
WT6X11,11.0,3.24,6.16,4.03,0.260,0.425,0.9375
WT6X9.5,9.50,2.79,6.08,4.01,0.235,0.350,0.875
WT6X8,8.00,2.36,6.00,3.99,0.220,0.265,0.8125
WT6X7,7.00,2.08,5.96,3.97,0.200,0.225,0.750
WT5X56,56.0,16.5,5.68,10.4,0.755,1.25,1.9375
WT5X50,50.0,14.7,5.55,10.3,0.680,1.12,1.8125
WT5X44,44.0,12.9,5.42,10.3,0.605,0.990,1.6875
WT5X38.5,38.5,11.3,5.30,10.2,0.530,0.870,1.5625
WT5X34,34.0,10.0,5.20,10.1,0.470,0.770,1.4375
WT5X30,30.0,8.82,5.11,10.1,0.420,0.680,1.375
WT5X27,27.0,7.91,5.05,10.0,0.370,0.615,1.3125
WT5X24.5,24.5,7.21,4.99,10.0,0.340,0.560,1.25
WT5X22.5,22.5,6.63,5.05,8.02,0.350,0.620,1.3125
WT5X19.5,19.5,5.73,4.96,7.99,0.315,0.530,1.1875
WT5X16.5,16.5,4.85,4.87,7.96,0.290,0.435,1.125
WT5X15,15.0,4.42,5.24,5.81,0.300,0.510,1.125
WT5X13,13.0,3.81,5.17,5.77,0.260,0.440,1.0625
WT5X11,11.0,3.24,5.09,5.75,0.240,0.360,0.9375
WT5X9.5,9.50,2.81,5.12,4.02,0.250,0.395,0.9375
WT5X8.5,8.50,2.50,5.06,4.01,0.240,0.330,0.875
WT5X7.5,7.50,2.21,5.00,4.00,0.230,0.270,0.8125
WT5X6,6.00,1.77,4.94,3.96,0.190,0.210,0.750
WT4X33.5,33.5,9.84,4.50,8.28,0.570,0.935,1.625
WT4X29,29.0,8.54,4.38,8.22,0.510,0.810,1.500
WT4X24,24.0,7.05,4.25,8.11,0.400,0.685,1.375
WT4X20,20.0,5.87,4.13,8.07,0.360,0.560,1.250
WT4X17.5,17.5,5.14,4.06,8.02,0.310,0.495,1.1875
WT4X15.5,15.5,4.56,4.00,8.00,0.285,0.435,1.125
WT4X14,14.0,4.12,4.03,6.54,0.285,0.465,0.9375
WT4X12,12.0,3.54,3.97,6.50,0.245,0.400,0.875
WT4X10.5,10.5,3.08,4.14,5.27,0.250,0.400,0.875
WT4X9,9.00,2.63,4.07,5.25,0.230,0.330,0.8125
WT4X7.5,7.50,2.22,4.06,4.02,0.245,0.315,0.8125
WT4X6.5,6.50,1.92,4.00,4.00,0.230,0.255,0.750
WT4X5,5.00,1.48,3.95,3.94,0.170,0.205,0.6875
WT3X12.5,12.5,3.67,3.19,6.08,0.320,0.455,0.9375
WT3X10,10.0,2.94,3.10,6.02,0.260,0.365,0.875
WT3X7.5,7.50,2.21,3.00,5.99,0.230,0.260,0.750
WT3X8,8.00,2.37,3.14,4.03,0.260,0.405,0.875
WT3X6,6.00,1.78,3.02,4.00,0.230,0.280,0.750
WT3X4.5,4.50,1.34,2.95,3.94,0.170,0.215,0.6875
WT3X4.25,4.25,1.26,2.92,3.94,0.170,0.195,0.6875
WT2.5X9.5,9.50,2.78,2.58,5.03,0.270,0.430,0.8125
WT2.5X8,8.00,2.35,2.51,5.00,0.240,0.360,0.750
WT2X6.5,6.50,1.91,2.08,4.06,0.280,0.345,0.750
