,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##INCHES,Section Name Key##other##
WT15X163,15.4,16.2,2.05,1.14,0.79,12.44,48,163,981,622,78.8,81,143,126,51.2,361,5.5,WT15X163
WT15X146,15.3,16,1.85,1.02,0.79,12.38,43,146,861,549,69.6,71.9,125,111,37.5,257,5.5,WT15X146
WT15X130.5,15.2,15.8,1.65,0.93,0.79,12.26,38.5,130.5,765,480,62.4,63.3,112,97.9,26.9,184,5.5,WT15X130.5
WT15X117.5,15.1,15.7,1.5,0.83,0.79,12.29,34.7,117.5,674,427,55.1,56.8,98.2,87.5,20.1,133,5.5,WT15X117.5
WT15X105.5,15.1,15.5,1.32,0.775,0.78,12.11,31.1,105.5,610,378,50.5,50.1,89.5,77.2,14.1,96.4,5.5,WT15X105.5
WT15X95.5,15,15.3,1.19,0.71,0.78,11.96,28,95.5,549,336,45.7,44.7,80.8,68.9,10.5,71.2,5.5,WT15X95.5
WT15X86.5,15,15.2,1.07,0.655,0.78,11.89,25.4,86.5,497,299,41.7,39.9,73.5,61.4,7.78,53,5.5,WT15X86.5
WT15X74,10.5,15.3,1.18,0.65,0.65,11.46,21.8,74,466,114,40.6,21.7,72.2,33.9,7.24,37.6,5.5,WT15X74
WT15X66,10.5,15.2,1,0.615,0.65,11.3,19.5,66,421,98,37.4,18.6,66.8,29.2,4.85,28.5,5.5,WT15X66
WT15X62,10.5,15.1,0.93,0.585,0.65,11.2,18.2,62,396,90.4,35.3,17.2,63.1,27,3.98,23.9,5.5,WT15X62
WT15X58,10.5,15,0.85,0.565,0.65,11.06,17.1,58,373,82.1,33.7,15.6,60.4,24.6,3.21,20.5,5.5,WT15X58
WT15X54,10.5,14.9,0.76,0.545,0.65,10.89,15.9,54,349,73,32,13.9,57.7,21.9,2.49,17.3,5.5,WT15X54
WT15X49.5,10.5,14.8,0.67,0.52,0.65,10.71,14.5,49.5,322,63.9,30,12.2,54.4,19.3,1.88,14.3,5.5,WT15X49.5
WT15X45,10.4,14.8,0.61,0.47,0.65,10.76,13.2,45,290,57.3,27.1,11,49,17.3,1.41,10.5,5.5,WT15X45
WT13.5X269.5,15.3,16.3,3.54,1.97,0.79,11.96,79.3,269.5,1530,1060,128,138,242,218,247,1740,5.5,WT13.5X269.5
WT13.5X184,14.7,15.2,2.48,1.38,0.79,11.49,54.2,184,939,655,81.7,89.3,151,140,84.5,532,5.5,WT13.5X184
WT13.5X168,14.6,15,2.28,1.26,0.79,11.42,49.5,168,839,587,73.4,80.8,135,126,65.4,401,5.5,WT13.5X168
WT13.5X153.5,14.4,14.8,2.09,1.16,0.79,11.33,45.2,153.5,753,527,66.4,72.9,121,113,50.5,304,5.5,WT13.5X153.5
