,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Flange Fillet##SECTION_PROPERTY##INCHES,Top Web Fillet##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Horizontal##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Bolt Spacing Shorter Flange##SECTION_DIMENSION##INCHES,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##INCHES,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##INCHES,Section Name Key##other##
L8X8X1-1/8,8,8,1.13,1.13,0.565,0.565,1.13,2.4,2.4,16.8,56.9,98.1,98.1,17.5,17.5,31.6,31.6,7.13,32.5,4.5,4.5,0,L8X8X1 1/8
L8X8X1,8,8,1,1,0.5,0.5,1,2.36,2.36,15.1,51,89.1,89.1,15.8,15.8,28.5,28.5,5.08,23.4,4.5,4.5,0,L8X8X1
L8X8X7/8,8,8,0.875,0.875,0.4375,0.4375,0.875,2.31,2.31,13.3,45,79.7,79.7,14,14,25.3,25.3,3.46,16.1,4.5,4.5,0,L8X8X7/8
L8X8X3/4,8,8,0.75,0.75,0.375,0.375,0.75,2.26,2.26,11.5,38.9,69.9,69.9,12.2,12.2,22,22,2.21,10.4,4.5,4.5,0,L8X8X3/4
L8X8X5/8,8,8,0.625,0.625,0.3125,0.3125,0.625,2.21,2.21,9.69,32.7,59.6,59.6,10.3,10.3,18.6,18.6,1.3,6.16,4.5,4.5,0,L8X8X5/8
L8X8X9/16,8,8,0.563,0.563,0.2815,0.2815,0.563,2.19,2.19,8.77,29.6,54.2,54.2,9.33,9.33,16.8,16.8,0.961,4.55,4.5,4.5,0,L8X8X9/16
L8X8X1/2,8,8,0.5,0.5,0.25,0.25,0.5,2.17,2.17,7.84,26.4,48.8,48.8,8.36,8.36,15.1,15.1,0.683,3.23,4.5,4.5,0,L8X8X1/2
L6X6X1,6,6,1,1,0.5,0.5,1,1.86,1.86,11,37.4,35.4,35.4,8.55,8.55,15.4,15.4,3.68,9.24,3.5,3.5,0,L6X6X1
L6X6X7/8,6,6,0.875,0.875,0.4375,0.4375,0.875,1.81,1.81,9.75,33.1,31.9,31.9,7.61,7.61,13.7,13.7,2.51,6.41,3.5,3.5,0,L6X6X7/8
L6X6X3/4,6,6,0.75,0.75,0.375,0.375,0.75,1.77,1.77,8.46,28.7,28.1,28.1,6.64,6.64,11.9,11.9,1.61,4.17,3.5,3.5,0,L6X6X3/4
L6X6X5/8,6,6,0.625,0.625,0.3125,0.3125,0.625,1.72,1.72,7.13,24.2,24.1,24.1,5.64,5.64,10.1,10.1,0.955,2.5,3.5,3.5,0,L6X6X5/8
L6X6X9/16,6,6,0.563,0.563,0.2815,0.2815,0.563,1.7,1.7,6.45,21.9,22,22,5.12,5.12,9.18,9.18,0.704,1.85,3.5,3.5,0,L6X6X9/16
L6X6X1/2,6,6,0.5,0.5,0.25,0.25,0.5,1.67,1.67,5.77,19.6,19.9,19.9,4.59,4.59,8.22,8.22,0.501,1.32,3.5,3.5,0,L6X6X1/2
L6X6X7/16,6,6,0.438,0.438,0.219,0.219,0.438,1.65,1.65,5.08,17.2,17.6,17.6,4.06,4.06,7.25,7.25,0.34,0.899,3.5,3.5,0,L6X6X7/16
L6X6X3/8,6,6,0.375,0.375,0.1875,0.1875,0.375,1.62,1.62,4.38,14.9,15.4,15.4,3.51,3.51,6.27,6.27,0.218,0.575,3.5,3.5,0,L6X6X3/8
L6X6X5/16,6,6,0.313,0.313,0.1565,0.1565,0.313,1.6,1.6,3.67,12.4,13,13,2.95,2.95,5.26,5.26,0.129,0.338,3.5,3.5,0,L6X6X5/16
L5X5X7/8,5,5,0.875,0.875,0.4375,0.4375,0.875,1.56,1.56,8,27.2,17.8,17.8,5.16,5.16,9.31,9.31,2.07,3.53,3,3,0,L5X5X7/8
L5X5X3/4,5,5,0.75,0.75,0.375,0.375,0.75,1.52,1.52,6.98,23.6,15.7,15.7,4.52,4.52,8.14,8.14,1.33,2.32,3,3,0,L5X5X3/4
L5X5X5/8,5,5,0.625,0.625,0.3125,0.3125,0.625,1.47,1.47,5.9,20,13.6,13.6,3.85,3.85,6.93,6.93,0.792,1.4,3,3,0,L5X5X5/8
L5X5X1/2,5,5,0.5,0.5,0.25,0.25,0.5,1.42,1.42,4.79,16.2,11.3,11.3,3.15,3.15,5.66,5.66,0.417,0.744,3,3,0,L5X5X1/2
