,Diameter##SECTION_PROPERTY##INCHES,Perimeter##Surface_Area##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
RB 4 1/4,4.25,13.345,14.179,16.015,16.015,7.536,7.536,12.794,12.794,RB 4 1/4
RB 4 1/8,4.125,12.953,13.357,14.212,14.212,6.891,6.891,11.698,11.698,RB 4 1/8
RB 4 11/16,4.6875,14.719,17.249,23.699,23.699,10.112,10.112,17.166,17.166,RB 4 11/16
RB 4 13/16,4.8125,15.111,18.181,26.33,26.33,10.942,10.942,18.576,18.576,RB 4 13/16
RB 4 15/16,4.9375,15.504,19.137,29.174,29.174,11.817,11.817,20.062,20.062,RB 4 15/16
RB 4 3/16,4.1875,13.149,13.765,15.093,15.093,7.209,7.209,12.238,12.238,RB 4 3/16
RB 4 3/4,4.75,14.915,17.712,24.989,24.989,10.522,10.522,17.862,17.862,RB 4 3/4
RB 4 3/8,4.375,13.738,15.025,17.984,17.984,8.221,8.221,13.957,13.957,RB 4 3/8
RB 4 5/16,4.3125,13.541,14.599,16.978,16.978,7.874,7.874,13.367,13.367,RB 4 5/16
RB 4 5/8,4.625,14.523,16.792,22.46,22.46,9.713,9.713,16.489,16.489,RB 4 5/8
RB 4 7/16,4.4375,13.934,15.458,19.034,19.034,8.579,8.579,14.563,14.563,RB 4 7/16
RB 4 7/8,4.875,15.308,18.656,27.725,27.725,11.374,11.374,19.31,19.31,RB 4 7/8
RB 4 9/16,4.5625,14.326,16.341,21.271,21.271,9.324,9.324,15.829,15.829,RB 4 9/16
RB 5,5,15.7,19.625,30.68,30.68,12.272,12.272,20.833,20.833,RB 5
RB 5 1/16,5.0625,15.896,20.119,32.243,32.243,12.738,12.738,21.624,21.624,RB 5 1/16
RB 5 1/2,5.5,17.27,23.746,44.918,44.918,16.334,16.334,27.729,27.729,RB 5 1/2
RB 5 1/4,5.25,16.485,21.637,37.291,37.291,14.206,14.206,24.117,24.117,RB 5 1/4
RB 5 1/8,5.125,16.093,20.619,33.865,33.865,13.215,13.215,22.435,22.435,RB 5 1/8
RB 5 11/16,5.6875,17.859,25.393,51.364,51.364,18.062,18.062,30.663,30.663,RB 5 11/16
RB 5 13/16,5.8125,18.251,26.521,56.03,56.03,19.279,19.279,32.729,32.729,RB 5 13/16
RB 5 15/16,5.9375,18.644,27.674,61.008,61.008,20.55,20.55,34.887,34.887,RB 5 15/16
RB 5 3/16,5.1875,16.289,21.124,35.547,35.547,13.705,13.705,23.266,23.266,RB 5 3/16
RB 5 3/4,5.75,18.055,25.954,53.659,53.659,18.664,18.664,31.685,31.685,RB 5 3/4
RB 5 3/8,5.375,16.878,22.679,40.972,40.972,15.245,15.245,25.881,25.881,RB 5 3/8
RB 5 5/16,5.3125,16.681,22.155,39.099,39.099,14.72,14.72,24.989,24.989,RB 5 5/16
RB 5 5/8,5.625,17.663,24.838,49.143,49.143,17.473,17.473,29.663,29.663,RB 5 5/8
RB 5 7/16,5.4375,17.074,23.21,42.911,42.911,15.783,15.783,26.795,26.795,RB 5 7/16
RB 5 7/8,5.875,18.448,27.095,58.479,58.479,19.908,19.908,33.797,33.797,RB 5 7/8
RB 5 9/16,5.5625,17.466,24.289,46.995,46.995,16.897,16.897,28.685,28.685,RB 5 9/16
RB 5/16,0.3125,0.981,0.077,0,0,0.003,0.003,0.005,0.005,RB 5/16
RB 5/8,0.625,1.963,0.307,0.007,0.007,0.024,0.024,0.041,0.041,RB 5/8
RB 6,6,18.84,28.26,63.617,63.617,21.206,21.206,36,36,RB 6
RB 6 1/16,6.0625,19.036,28.852,66.31,66.31,21.875,21.875,37.137,37.137,RB 6 1/16
RB 6 1/2,6.5,20.41,33.166,87.624,87.624,26.961,26.961,45.771,45.771,RB 6 1/2
RB 6 1/4,6.25,19.625,30.664,74.901,74.901,23.968,23.968,40.69,40.69,RB 6 1/4
RB 6 1/8,6.125,19.233,29.45,69.087,69.087,22.559,22.559,38.297,38.297,RB 6 1/8
RB 6 11/16,6.6875,20.999,35.107,98.18,98.18,29.362,29.362,49.847,49.847,RB 6 11/16
RB 6 13/16,6.8125,21.391,36.432,105.729,105.729,31.04,31.04,52.695,52.695,RB 6 13/16
RB 6 15/16,6.9375,21.784,37.781,113.706,113.706,32.78,32.78,55.649,55.649,RB 6 15/16
RB 6 3/16,6.1875,19.429,30.054,71.95,71.95,23.257,23.257,39.482,39.482,RB 6 3/16
RB 6 3/4,6.75,21.195,35.767,101.903,101.903,30.193,30.193,51.258,51.258,RB 6 3/4
RB 6 3/8,6.375,20.018,31.903,81.076,81.076,25.435,25.435,43.181,43.181,RB 6 3/8
RB 6 5/16,6.3125,19.821,31.28,77.943,77.943,24.695,24.695,41.923,41.923,RB 6 5/16
RB 6 5/8,6.625,20.803,34.454,94.561,94.561,28.547,28.547,48.463,48.463,RB 6 5/8
RB 6 7/16,6.4375,20.214,32.532,84.302,84.302,26.191,26.191,44.463,44.463,RB 6 7/16
RB 6 7/8,6.875,21.588,37.104,109.663,109.663,31.902,31.902,54.159,54.159,RB 6 7/8
RB 6 9/16,6.5625,20.606,33.807,91.043,91.043,27.746,27.746,47.104,47.104,RB 6 9/16
RB 7,7,21.98,38.465,117.859,117.859,33.674,33.674,57.167,57.167,RB 7
RB 7 1/16,7.0625,22.176,39.155,122.125,122.125,34.584,34.584,58.712,58.712,RB 7 1/16
RB 7 1/2,7.5,23.55,44.156,155.316,155.316,41.417,41.417,70.312,70.312,RB 7 1/2
