,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Flange Fillet##SECTION_PROPERTY##INCHES,Top Web Fillet##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Horizontal##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Principal Axes Angle##ANGLE##DEGREES,Bolt Spacing Shorter Flange##SECTION_DIMENSION##INCHES,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##INCHES,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##INCHES,Section Name Key##other##
L3X2-1/2X7/16,2.5,3,0.438,0.438,0.219,0.219,0.438,0.724,0.972,2.22,7.6,1.87,1.17,0.921,0.656,1.66,1.19,0.146,0.0777,33.86161129,1.375,0,0,L3X2 1/2X7/16
L3X2-1/2X3/8,2.5,3,0.375,0.375,0.1875,0.1875,0.375,0.701,0.949,1.93,6.6,1.65,1.03,0.803,0.573,1.45,1.03,0.0943,0.0507,34.01935001,1.375,0,0,L3X2 1/2X3/8
L3X2-1/2X5/16,2.5,3,0.313,0.313,0.1565,0.1565,0.313,0.677,0.925,1.63,5.6,1.41,0.888,0.681,0.487,1.23,0.873,0.056,0.0304,34.17650465,1.375,0,0,L3X2 1/2X5/16
L3X2-1/2X1/4,2.5,3,0.25,0.25,0.125,0.125,0.25,0.653,0.9,1.32,4.5,1.16,0.734,0.555,0.397,1,0.707,0.0296,0.0161,34.33307608,1.375,0,0,L3X2 1/2X1/4
L3X2-1/2X3/16,2.5,3,0.188,0.188,0.094,0.094,0.188,0.627,0.874,1,3.39,0.899,0.568,0.423,0.303,0.761,0.536,0.013,0.00705,34.48906522,1.375,0,0,L3X2 1/2X3/16
L3X2X1/2,2,3,0.5,0.5,0.25,0.25,0.5,0.58,1.08,2.26,7.7,1.92,0.667,1,0.47,1.78,0.887,0.192,0.0908,22.44062526,1.125,0,0,L3X2X1/2
L3X2X3/8,2,3,0.375,0.375,0.1875,0.1875,0.375,0.535,1.03,1.75,5.9,1.54,0.539,0.779,0.368,1.39,0.679,0.0855,0.0413,23.07400455,1.125,0,0,L3X2X3/8
L3X2X5/16,2,3,0.313,0.313,0.1565,0.1565,0.313,0.511,1.01,1.48,5,1.32,0.467,0.662,0.314,1.19,0.572,0.051,0.0248,23.36434449,1.125,0,0,L3X2X5/16
L3X2X1/4,2,3,0.25,0.25,0.125,0.125,0.25,0.487,0.98,1.2,4.1,1.09,0.39,0.541,0.258,0.969,0.463,0.027,0.0132,23.60532785,1.125,0,0,L3X2X1/4
L3X2X3/16,2,3,0.188,0.188,0.094,0.094,0.188,0.462,0.952,0.917,3.07,0.847,0.305,0.414,0.198,0.743,0.351,0.0119,0.00576,23.84542868,1.125,0,0,L3X2X3/16
L2-1/2X2X3/8,2,2.5,0.375,0.375,0.1875,0.1875,0.375,0.578,0.826,1.55,5.3,0.914,0.513,0.546,0.361,0.982,0.657,0.0746,0.0268,31.46663229,1.125,0,0,L2 1/2X2X3/8
L2-1/2X2X5/16,2,2.5,0.313,0.313,0.1565,0.1565,0.313,0.555,0.803,1.32,4.5,0.79,0.446,0.465,0.309,0.839,0.557,0.0444,0.0162,31.71606523,1.125,0,0,L2 1/2X2X5/16
L2-1/2X2X1/4,2,2.5,0.25,0.25,0.125,0.125,0.25,0.532,0.779,1.07,3.62,0.656,0.372,0.381,0.253,0.688,0.454,0.0235,0.00868,31.96416323,1.125,0,0,L2 1/2X2X1/4
L2-1/2X2X3/16,2,2.5,0.188,0.188,0.094,0.094,0.188,0.508,0.754,0.818,2.75,0.511,0.292,0.293,0.195,0.529,0.347,0.0103,0.00382,32.12882099,1.125,0,0,L2 1/2X2X3/16
L2-1/2X1-1/2X1/4,1.5,2.5,0.25,0.25,0.125,0.125,0.25,0.372,0.866,0.947,3.19,0.594,0.16,0.364,0.142,0.644,0.261,0.0209,0.00694,19.49396308,0.875,0,0,L2 1/2X1 1/2X1/4
L2-1/2X1-1/2X3/16,1.5,2.5,0.188,0.188,0.094,0.094,0.188,0.347,0.839,0.724,2.44,0.464,0.126,0.28,0.11,0.497,0.198,0.00921,0.00306,19.79887638,0.875,0,0,L2 1/2X1 1/2X3/16
